[ MONSTER - 1:16:45 ] Killer=test,SID=303,Target=spoiler,Zone=2,X=1537,Z=469
[ MONSTER - 1:16:53 ] Killer=test,SID=501,Target=Lycan,Zone=2,X=1514,Z=471
[ MONSTER - 1:17:17 ] Killer=test,SID=4601,Target=GRAY OOZY,Zone=2,X=1424,Z=972
[ MONSTER - 1:17:27 ] Killer=test,SID=1204,Target=Cardinal,Zone=2,X=1324,Z=1111
[ MONSTER - 1:17:34 ] Killer=test,SID=1204,Target=Cardinal,Zone=2,X=1322,Z=1118
[ MONSTER - 1:17:40 ] Killer=test,SID=1204,Target=Cardinal,Zone=2,X=1315,Z=1135
[ MONSTER - 1:17:58 ] Killer=test,SID=1113,Target=Ash knight,Zone=2,X=1092,Z=1302
[ MONSTER - 1:18:2 ] Killer=test,SID=1113,Target=Ash knight,Zone=2,X=1097,Z=1321
[ MONSTER - 1:18:5 ] Killer=test,SID=1113,Target=Ash knight,Zone=2,X=1112,Z=1311
[ MONSTER - 1:18:9 ] Killer=test,SID=1113,Target=Ash knight,Zone=2,X=1120,Z=1329
[ MONSTER - 1:18:13 ] Killer=test,SID=1113,Target=Ash knight,Zone=2,X=1116,Z=1357
[ MONSTER - 1:18:16 ] Killer=test,SID=1113,Target=Ash knight,Zone=2,X=1132,Z=1364
[ MONSTER - 1:18:20 ] Killer=test,SID=1113,Target=Ash knight,Zone=2,X=1119,Z=1382
[ MONSTER - 1:18:23 ] Killer=test,SID=1113,Target=Ash knight,Zone=2,X=1123,Z=1384
[ MONSTER - 1:18:26 ] Killer=test,SID=1113,Target=Ash knight,Zone=2,X=1118,Z=1390
[ MONSTER - 1:18:32 ] Killer=test,SID=1114,Target=Dragon Tooth Skeleton,Zone=2,X=1062,Z=1364
[ MONSTER - 1:18:35 ] Killer=test,SID=1114,Target=Dragon Tooth Skeleton,Zone=2,X=1052,Z=1371
[ MONSTER - 1:18:38 ] Killer=test,SID=1114,Target=Dragon Tooth Skeleton,Zone=2,X=1046,Z=1382
[ MONSTER - 1:18:47 ] Killer=test,SID=1721,Target=Troll,Zone=2,X=938,Z=1574
[ MONSTER - 1:18:54 ] Killer=test,SID=1721,Target=Troll,Zone=2,X=931,Z=1580
[ MONSTER - 1:19:55 ] Killer=test,SID=1671,Target=Orc Watcher,Zone=2,X=1277,Z=681
[ MONSTER - 1:20:2 ] Killer=test,SID=4601,Target=GRAY OOZY,Zone=2,X=1324,Z=682
[ MONSTER - 1:20:7 ] Killer=test,SID=502,Target=Loup-garou,Zone=2,X=1353,Z=607
[ MONSTER - 1:20:11 ] Killer=test,SID=502,Target=Loup-garou,Zone=2,X=1352,Z=603
[ MONSTER - 1:20:16 ] Killer=test,SID=502,Target=Loup-garou,Zone=2,X=1346,Z=598
[ MONSTER - 1:21:44 ] Killer=test,SID=751,Target=Earth worm,Zone=21,X=260,Z=295
[ MONSTER - 1:21:56 ] Killer=test,SID=751,Target=Earth worm,Zone=21,X=268,Z=260
[ MONSTER - 1:22:3 ] Killer=test,SID=250,Target=Bulcan,Zone=21,X=203,Z=189
[ MONSTER - 1:22:12 ] Killer=test,SID=150,Target=Kecoon,Zone=21,X=159,Z=259
[ MONSTER - 1:22:17 ] Killer=test,SID=550,Target=Werewolf,Zone=21,X=113,Z=263
[ MONSTER - 1:22:23 ] Killer=test,SID=161,Target=Kekurikekukaka,Zone=21,X=85,Z=239
[ MONSTER - 1:22:30 ] Killer=test,SID=159,Target=Kecoon captain,Zone=21,X=75,Z=239
[ MONSTER - 1:22:32 ] Killer=test,SID=159,Target=Kecoon captain,Zone=21,X=76,Z=238
[ MONSTER - 1:22:35 ] Killer=test,SID=153,Target=Kecoon raider,Zone=21,X=73,Z=238
